sep=,
"Time","P","Q"
2020-01-31 13:40:00,282,738
2020-01-31 13:45:00,218,739
2020-01-31 13:50:00,154,749
2020-01-31 13:55:00,123,751
2020-01-31 14:00:00,185,762
2020-01-31 14:05:00,151,743
2020-01-31 14:10:00,279,754
2020-01-31 14:15:00,326,742
2020-01-31 14:20:00,298,741
2020-01-31 14:25:00,149,750
2020-01-31 14:30:00,219,752
2020-01-31 14:35:00,294,751
2020-01-31 14:40:00,275,742
2020-01-31 14:45:00,223,740
2020-01-31 14:50:00,331,745
2020-01-31 14:55:00,236,744
2020-01-31 15:00:00,196,762
2020-01-31 15:05:00,195,758
2020-01-31 15:10:00,207,771
2020-01-31 15:15:00,157,752
2020-01-31 15:20:00,324,735
2020-01-31 15:25:00,147,748
2020-01-31 15:30:00,457,754
2020-01-31 15:35:00,431,754
2020-01-31 15:40:00,500,750
2020-01-31 15:45:00,566,752
2020-01-31 15:50:00,534,744
