Time (s),P (kW),Q (kW)
54592,293.6022097,129.4508993
54593,293.3103192,131.7485391
54594,293.6695562,135.3424316
54595,293.9453338,129.6460251
54596,293.6099206,132.8290889
54597,293.5810091,127.254984
54598,293.8873929,129.6131287
54599,293.8347429,133.660713
54600,293.7035748,136.6475591
54601,295.7897854,129.2447582
54602,295.5963518,128.4832054
54603,280.8880543,123.9877545
54604,281.2608243,122.5386435
54605,281.1889837,124.2586452
54606,281.6205238,117.1976361
54607,281.1533971,123.465222
54608,281.2847279,125.5920156
54609,280.7683042,124.3164391
54610,280.6175115,123.3157384
54611,280.8296359,117.8075646
54612,280.623554,122.2919951
54613,280.9935603,123.3572841
54614,280.8969215,117.4736283
54615,280.9563559,125.7178456
54616,281.260397,121.3339059
54617,279.7106865,121.3332002
54618,279.8812524,117.3710656
54619,279.8206398,121.0420936
54620,280.8217036,124.5276633
54621,279.8821325,117.400669
54622,280.0680071,121.1584161
54623,279.5708339,124.9708238
54624,279.7045424,119.5226605
54625,279.8372272,116.6285477
54626,279.3365411,118.5570109
54627,278.9646605,124.3594052
54628,279.5730948,119.2161138
54629,279.3326282,120.6466052
54630,279.4190142,124.0425917
54631,279.2691515,120.8495834
54632,279.2379826,115.1099051
54633,279.3680435,121.8826761
54634,279.5173562,120.9498521
54635,279.538001,118.6046441
54636,283.0884384,122.3561331
54637,281.5470554,122.6751783
54638,281.4616654,123.6277698
54639,281.5044252,118.1064735
54640,281.5101632,124.2331269
54641,281.4910536,120.5667268
54642,281.6272215,126.5292196
54643,281.3516719,121.7502782
54644,281.1157859,117.7220819
54645,280.8879309,124.6167665
54646,280.7646378,125.0224443
54647,280.9434325,121.0292276
54648,280.7342775,119.8359428
54649,284.5805711,132.3852521
54650,286.342293,126.5653322
54651,287.5908688,122.7697078
54652,289.2760937,131.7887333
54653,289.3966808,125.9808746
54654,291.7934528,129.4417612
54655,292.1510729,129.8990168
54656,292.2397503,122.7060404
54657,291.1041936,124.8345759
54658,291.3341912,129.3468269
54659,348.6432883,224.9686047
54660,322.5365911,151.3140916
54661,324.2804594,147.8024758
54662,324.7347161,149.6377398
54663,325.6375239,147.7671427
54664,326.8517966,147.3209444
54665,328.0613059,150.08985
54666,327.7616335,148.2910838
54667,328.4574002,151.1805743
54668,328.3839754,147.958629
54669,325.5082428,147.497936
54670,324.4854159,150.0406009
54671,324.2779646,144.4330131
54672,324.2145084,148.494572
54673,324.8102428,149.3520173
54674,324.3628156,140.2342963
54675,324.4125789,147.8970823
54676,321.6570971,146.2633546
54677,321.5902983,143.6800707
54678,321.7733104,140.7574079
54679,322.0535616,146.7331233
54680,322.4025385,148.0224537
54681,322.1851517,146.5197568
54682,322.0675907,140.5226446
54683,322.391154,144.3109605
54684,322.5498679,148.4539618
54685,322.704858,144.5074701
54686,322.5298496,142.9003248
54687,322.651197,142.3967239
54688,322.826711,144.8327786
54689,322.898871,152.6014859
54690,322.8542662,143.4132474
54691,323.2341081,146.6465819
54692,323.4314839,144.032234
54693,323.2769833,140.7375361
54694,323.1832888,143.6891554
54695,324.9514893,144.7203647
54696,323.2267797,142.2361345
54697,323.4011746,143.1286969
54698,324.0074603,154.2497028
54699,323.9657213,149.5842918
54700,323.6655137,147.9046359
54701,324.2006739,151.3588157
54702,324.0506666,149.447488
54703,324.2039898,143.4749812
54704,324.4881477,149.1541729
54705,324.6098438,150.047102
54706,324.5442272,144.6074279
54707,321.9698179,147.9880942
54708,321.587311,142.5375136
54709,321.6790342,140.2790702
54710,322.0866015,145.021325
54711,321.7697203,146.1459091
54712,321.8161606,146.4823449
54713,321.9865516,140.8183676
54714,322.009749,143.8097837
54715,321.7443381,140.8599875
54716,321.6399828,140.9959377
54717,321.9491054,143.4253824
54718,321.7093418,138.0255755
54719,321.6750769,145.4723094
54720,321.7544553,148.9680628
54721,321.5671363,145.5072493
54722,321.8742797,145.3537052
54723,322.2596568,145.0573992
54724,321.8970892,143.1012332
54725,321.8508276,146.8413146
54726,322.0550672,142.6345424
54727,322.1662335,146.5179631
54728,322.9080588,143.5509132
54729,321.9035322,142.7231161
54730,321.9667829,144.4922577
54731,321.613217,141.0111501
54732,322.0623744,143.1554278
54733,322.0367446,144.3501052
54734,321.9891777,137.6930354
54735,322.0685679,146.5962028
54736,321.8754921,143.6421624
54737,321.7958203,144.0148178
54738,322.1049453,143.7504243
54739,322.4509243,144.5603568
54740,322.3363585,143.6478828
54741,322.4190668,141.7420208
54742,322.4015043,142.4153771
54743,322.35202,143.918827
54744,322.0110867,144.2104167
54745,322.814975,145.5039609
54746,322.6571657,145.9907293
54747,322.4370961,145.2789486
54748,322.4781848,144.5001991
54749,322.2004766,147.6492225
54750,322.3688213,142.0871335
54751,322.3705125,140.8455924
54752,322.8593125,148.1192531
54753,322.4801757,138.0687291
54754,323.0955578,141.4187203
54755,323.3885703,149.2023949
54756,323.4353898,147.3589447
54757,322.8012129,145.8484911
54758,323.1050444,143.1995465
54759,322.8517363,140.9500591
54760,322.5233272,147.8738246
54761,322.1513679,144.708607
54762,321.910519,143.323705
54763,321.7200801,144.56414
54764,322.7470443,143.0229494
54765,321.8330086,145.7806948
54766,322.133675,144.3206719
54767,321.8488954,143.6456819
54768,322.2896302,145.2346116
54769,322.5597967,142.9825278
54770,322.7541242,144.0396241
54771,322.6208829,143.5547988
54772,324.2691582,146.8505439
54773,323.4861237,146.1268509
54774,323.6200761,143.6007774
54775,320.8410989,145.9680574
54776,320.8298166,142.3515884
54777,283.3069681,121.1545179
54778,283.1450351,121.9023554
54779,292.5682304,131.804368
54780,286.3532578,115.5074745
54781,287.6613324,125.8797634
54782,287.3985935,126.7798666
54783,287.5685814,122.7998614
54784,287.7219269,122.9482759
54785,287.502351,122.6623631
54786,287.5856683,121.5999626
54787,287.4695833,123.3003052
54788,287.2364823,122.331142
54789,287.6851779,123.5064126
54790,287.8596519,123.0906274
54791,287.7393818,122.4492233
54792,287.61576,125.1106577
54793,285.0109013,120.9316482
54794,284.9710123,121.4326314
54795,285.1169651,121.8145262
54796,284.9125524,122.3709129
54797,284.9770974,124.1382001
54798,284.8505356,117.8122263
54799,286.3293717,121.8380275
54800,286.2701358,122.9372858
54801,285.132422,117.088479
54802,290.0463131,123.1602379
54803,289.8908965,128.9863564
54804,290.0378597,122.6279159
54805,290.0281436,122.316888
54806,290.0147284,121.7745816
54807,290.1865421,123.0310615
54808,289.9327905,124.0281123
54809,290.2542338,122.7142816
54810,290.2239186,121.3240372
54811,293.0762276,124.2616007
54812,292.9098493,125.0867535
54813,292.9109025,123.3006031
54814,292.699871,123.4188801
54815,292.6841819,123.9036454
54816,292.4029999,121.9033358
54817,294.1588155,123.7096461
54818,294.1245332,122.4486989
54819,292.8792069,122.9466159
54820,292.8430604,123.8478506
54821,292.862468,124.3299773
54822,292.8929338,123.5889025
54823,292.6725819,120.3725186
54824,292.7100596,125.892123
54825,292.7117514,125.4747595
54826,292.6415703,120.452657
54827,293.3103658,124.2379673
54828,292.7011745,123.3972145
54829,292.8348981,122.9001369
54830,292.8685499,123.6291105
54831,293.056868,124.6620923
54832,293.0461863,123.8337036
54833,293.3050352,123.1560635
54834,293.0756806,123.8452942
54835,293.0617358,124.8110739
54836,294.2936316,124.9062671
54837,293.5107788,123.5851551
54838,293.2865933,124.090705
54839,293.4654861,125.415191
54840,293.6199173,121.139739
54841,293.8487046,121.9836335
54842,293.9385271,124.8315909
54843,293.9245509,127.1415575
54844,293.946636,123.3205208
54845,293.8839454,124.1518665
54846,294.1078693,124.1483101
54847,313.1482989,151.7601987
54848,325.2756847,144.4080813
54849,326.8214509,142.5157965
54850,327.8521036,143.0875065
54851,328.1548994,147.751364
54852,329.4041642,144.56998
54853,330.004227,146.0459865
54854,329.8684706,143.6171311
54855,330.4444343,145.6142849
54856,330.2689318,146.0995058
54857,330.6286642,145.187631
54858,330.6756914,145.0962543
54859,330.8812981,146.199648
54860,332.4972322,145.9066036
54861,330.870964,146.1680978
54862,330.7158571,143.9607526
54863,330.5632408,145.2274703
54864,331.4089316,146.470357
54865,331.4660718,144.7576889
54866,331.7369301,145.7550759
54867,331.4004112,147.0675004
54868,331.2101956,145.880059
54869,331.9131688,143.7496562
54870,330.973372,145.4493394
54871,331.4475722,145.4724036
54872,332.5389576,144.5899834
54873,331.7600926,146.3552598
54874,331.3759163,146.055998
54875,331.0126282,146.6499893
54876,331.2405552,143.9185865
54877,331.7122721,145.16131
54878,328.9534962,145.795745
54879,329.0605106,145.1006759
